names,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan,,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan
United States v. White Mountain Apache Tribe,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
article=United States v. Navajo Nation (2003),1,0,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
Clay v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Connecticut Dept. of Public Safety v. Doe,1,0.5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Ewing v. California,1,0,0,0.5,1,0,0.5,0,0,,,,,,,,,,,,,,,,,,
Lockyer v. Andrade,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Smith v. Doe,1,0,1,1,1,0.5,1,0,0,,,,,,,,,,,,,,,,,,
Cook County v. United States ex rel Chandler,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Norfolk & Western R. Co. v. Ayers,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Cuyahoga Falls v. Buckeye Community Hope Foundation,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Woodford v. Garceau,1,1,0.5,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Brown v. Legal Foundation of Washington,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Branch v. Smith,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Archer v. Warner,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"Kentucky Assn. of Health Plans, Inc. v. Miller",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Virginia v. Black,1,1,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
"PacifiCare Health Systems, Inc. v. Book",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
State Farm Mut. Automobile Ins. Co. v. Campbell,1,1,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,
"Clackamas Gastroenterology Associates, P.C. v. Wells",1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
Jinks v. Richland County,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Dole Food Co. v. Patrickson,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Franchise Tax Bd. of Cal. v. Hyatt,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Massaro v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Demore v. Kim,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Roell v. Withrow,1,0,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
"Illinois ex rel. Madigan v. Telemarketing Assoc., Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kaupp v. Texas,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Price v. Vincent,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Pharmaceutical Research and Mfrs. of America v. Walsh,1,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
"Breuer v. Jim's Concrete of Brevard, Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Inyo County v. Pauite-Shoshone Indians of Bishop Community of Bishop Colony,1,0.5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Los Angeles v. David,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Nevada Dept. of Human Resources v. Hibbs,1,0.5,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Chavez v. Martinez,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
National Park Hospitality Assn. v. Department of Interior,1,0.5,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
Black & Decker Disability Plan v. Nord,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Bunkley v. Florida,0,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Beneficial National Bank v. Anderson,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Dastar Corp. v. Twentieth Century Fox Film Corp.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Entergy La., Inc. v. Louisiana Pub. Serv. Comm'n",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Citizens Bank v. Alafabco, Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Hillside Dairy, Inc. v. Lyons",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Nguyen v. United States,0,1,1,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,
"Desert Palace, Inc. v. Costa",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Fitzgerald v. Racing Association of Central Iowa,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
#NAME?,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Virginia v. Hicks,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Overton v. Bazzetta,1,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Federal Election Commission v. Beaumont,1,1,1,0,0.5,1,0,1,1,,,,,,,,,,,,,,,,,,
Sell v. United States,1,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"United States v. American Library Association, Inc.",1,0,1,1,0.5,0,1,0,0.5,,,,,,,,,,,,,,,,,,
Gratz v. Bollinger,1,0,1,1,1,0,1,0,0.5,,,,,,,,,,,,,,,,,,
Grutter v. Bollinger,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,
American Insurance Association v. Garamendi,1,0,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,
Green Tree Financial Corp. v. Bazzle,0,0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Georgia v. Ashcroft,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
